,B19013_001E,state,county,tract
0,132750,25,025,060501
1,12759,25,025,061101
2,84083,25,025,070101
3,28851,25,025,070402
4,52676,25,025,071101
5,53649,25,025,071201
6,60000,25,027,710400
7,103071,25,027,713100
8,79283,25,027,716100
9,68096,25,027,723100
10,92672,25,027,730902
11,25399,25,027,731400
12,35309,25,027,731600
13,82250,25,027,736100
14,93856,25,027,737300
15,91425,25,027,739300
16,63375,25,027,711000
17,97561,25,027,700100
18,78958,25,027,702200
19,72900,25,027,704200
20,98714,25,027,708100
21,18234,25,027,710700
22,73599,25,027,725100
23,80250,25,027,711100
24,107348,25,027,719100
25,89173,25,027,726100
26,66735,25,027,730200
27,55319,25,027,730300
28,41089,25,027,730500
29,20030,25,027,731800
30,56574,25,027,744300
31,29015,25,027,732500
32,95167,25,027,735200
33,81771,25,027,742300
34,71758,25,027,744400
35,70142,25,027,757400
36,71014,25,027,701100
37,50732,25,027,703300
38,44330,25,027,709400
39,50551,25,027,709600
40,37188,25,027,710800
41,68139,25,027,722100
42,103872,25,027,728400
43,80265,25,027,730600
44,31769,25,027,731900
45,19083,25,027,732001
46,57857,25,027,732202
47,32579,25,027,732700
48,73875,25,027,736300
49,84444,25,027,738100
50,126974,25,027,739500
51,112000,25,027,740200
52,124856,25,027,743100
53,80069,25,027,749200
54,71280,25,027,750100
55,59286,25,027,750300
56,40388,25,027,754200
57,60679,25,027,754400
58,72358,25,027,757500
59,-666666666,25,027,731202
60,89830,25,027,736200
61,84201,25,027,736400
62,76348,25,027,736500
63,118633,25,027,739400
64,95530,25,027,706100
65,68063,25,027,710300
66,71102,25,027,709100
67,43750,25,027,709202
68,62279,25,027,709702
69,54700,25,027,716200
70,54627,25,027,716300
71,56346,25,027,726200
72,108750,25,027,728100
73,77150,25,027,729200
74,53347,25,027,709701
75,80648,25,027,730100
76,65769,25,027,730700
77,82569,25,027,744200
78,74681,25,027,735100
79,36560,25,027,754300
80,79797,25,027,730802
81,104063,25,027,717100
82,43735,25,027,732600
83,72931,25,027,724100
84,40694,25,027,730401
85,64733,25,027,732002
86,94807,25,027,744101
87,84444,25,027,759100
88,34349,25,027,707200
89,52803,25,027,730402
90,113750,25,027,739100
91,64276,25,015,821400
92,95987,25,015,820900
93,73125,25,015,821700
94,76786,25,015,821901
95,93958,25,015,820202
96,50326,25,015,820500
97,52557,25,015,821601
98,80589,25,015,822200
99,89362,25,015,822401
100,93854,25,015,822500
101,64635,25,015,822700
102,86169,25,015,820203
103,69787,25,015,821000
104,117000,25,015,821200
105,115232,25,015,820204
106,-666666666,25,015,820802
107,54265,25,015,820801
108,54843,25,015,821100
109,19194,25,025,080401
110,15703,25,025,080601
111,87537,25,015,821300
112,40617,25,015,820102
113,2499,25,015,820400
114,67604,25,015,820700
115,53029,25,015,821602
116,70208,25,015,822000
117,44943,25,015,822300
118,55145,25,015,822402
119,65015,25,015,820101
120,83958,25,015,820600
121,45316,25,015,820300
122,64619,25,015,821500
123,124189,25,019,950400
124,106648,25,019,950500
125,99167,25,019,950100
126,86630,25,019,950200
127,114180,25,017,352500
128,56310,25,017,352700
129,79615,25,017,353400
130,92865,25,017,356601
131,121429,25,017,357100
132,73005,25,017,357700
133,130547,25,017,373400
134,111113,25,017,368101
135,84811,25,017,368400
136,107500,25,017,369100
137,65385,25,017,383200
138,123245,25,017,387100
139,96447,25,017,354300
140,146250,25,017,354700
141,124565,25,017,354800
142,175313,25,017,358100
143,188542,25,017,358500
144,90368,25,017,369000
145,86319,25,017,370102
146,108561,25,017,354500
147,93136,25,017,332400
148,90433,25,017,339100
149,54756,25,017,311500
150,70575,25,017,321200
151,102775,25,017,337202
152,84574,25,017,322200
153,45739,25,017,311800
154,141932,25,017,318400
155,80445,25,017,368600
156,59359,25,017,383400
157,152689,25,017,350600
158,149479,25,017,354400
159,106667,25,005,633200
160,97604,25,023,506203
161,106337,25,023,508200
162,79688,25,023,510100
163,30097,25,005,640200
164,54189,25,005,640700
165,22624,25,005,641000
166,32250,25,005,641200
167,69902,25,005,645101
168,95205,25,005,645103
169,47028,25,005,650400
170,39963,25,005,652000
171,58542,25,005,652100
172,44107,25,005,652300
173,100060,25,005,612100
174,91310,25,005,613400
175,91569,25,005,614102
176,54835,25,005,641800
177,74743,25,009,252201
178,67002,25,009,252300
179,65933,25,009,252601
180,194866,25,009,253205
181,81644,25,009,254200
182,136902,25,009,254401
183,30844,25,009,260100
184,138403,25,009,263100
185,93000,25,009,269100
186,148138,25,009,202200
187,86030,25,009,204600
188,42417,25,009,205600
189,67750,25,009,205800
190,28810,25,009,207000
191,105538,25,009,208400
192,61433,25,009,210600
193,73513,25,009,210900
194,49318,25,009,221400
195,43382,25,009,221500
196,102917,25,009,221800
197,88565,25,009,253201
198,92936,25,009,253202
199,97109,25,009,264100
200,141034,25,009,265102
201,100958,25,009,203200
202,57316,25,009,204101
203,81250,25,009,205700
204,83594,25,009,204500
205,69244,25,009,204701
206,100644,25,009,205300
207,22340,25,009,206900
208,53032,25,009,210700
209,96741,25,009,217202
210,51821,25,009,221700
211,75172,25,009,223100
212,40664,25,009,251500
213,45135,25,005,642200
214,78077,25,005,642500
215,47582,25,005,650500
216,47723,25,005,651001
217,38066,25,005,651100
218,36111,25,005,651400
219,31991,25,005,652500
220,59760,25,005,652800
221,72672,25,005,653101
222,60714,25,005,655300
223,73524,25,005,655400
224,36616,25,005,650600
225,29896,25,005,650700
226,50968,25,005,651500
227,58990,25,005,631100
228,94600,25,005,631200
229,88359,25,005,632200
230,40949,25,005,640400
231,54727,25,005,642400
232,53705,25,005,654200
233,30317,25,005,651700
234,42697,25,005,652600
235,81975,25,005,655100
236,41065,25,005,613600
237,31162,25,005,613800
238,63144,25,005,614101
239,93897,25,005,615100
240,81798,25,005,617102
241,116836,25,005,630200
242,96708,25,005,631300
243,72949,25,005,631500
244,45625,25,005,640100
245,30614,25,005,640300
246,91618,25,009,252603
247,54779,25,005,640800
248,73029,25,005,644200
249,66331,25,009,252101
250,121182,25,009,254100
251,43140,25,009,260200
252,66157,25,009,261000
253,71584,25,009,261102
254,110764,25,009,266100
255,76552,25,009,268300
256,50729,25,009,204200
257,56612,25,009,205200
258,29452,25,009,206100
259,62841,25,009,206400
260,41735,25,009,206700
261,151402,25,009,209200
262,90818,25,009,211300
263,56157,25,009,217300
264,44608,25,009,221600
265,21936,25,009,250100
266,44058,25,009,250200
267,39398,25,009,250500
268,55729,25,009,250600
269,39939,25,009,251000
270,20288,25,009,251100
271,66374,25,009,252501
272,156438,25,009,253204
273,96648,25,009,260302
274,73750,25,009,267101
275,88693,25,009,267102
276,110510,25,009,268400
277,114063,25,009,270100
278,181130,25,009,254301
279,77199,25,009,260401
280,108700,25,009,205400
281,36339,25,009,207200
282,105885,25,009,210200
283,82070,25,009,211100
284,124025,25,009,218100
285,86667,25,005,645102
286,82500,25,005,650201
287,58768,25,005,650202
288,70764,25,005,651002
289,89660,25,005,610100
290,26101,25,005,651300
291,40980,25,005,652400
292,108139,25,005,653102
293,38269,25,005,614000
294,105774,25,005,630300
295,42557,25,005,631400
296,58482,25,005,641700
297,34286,25,005,641900
298,27134,25,005,651900
299,84478,25,005,654100
300,53240,25,005,655200
301,75958,25,005,644101
302,29482,25,005,650900
303,98636,25,005,612200
304,43971,25,005,640600
305,75451,25,005,650101
306,89574,25,005,632100
307,69067,25,005,646101
308,31250,25,013,801502
309,58528,25,013,801603
310,71875,25,013,801604
311,67500,25,013,802602
312,32500,25,013,811101
313,55185,25,013,811301
314,16544,25,013,811400
315,47733,25,013,800300
316,109712,25,009,216100
317,77725,25,009,217201
318,61646,25,009,217400
319,46466,25,009,250800
320,54406,25,009,251700
321,55908,25,009,251800
322,111895,25,009,252202
323,116125,25,009,252602
324,33699,25,009,204300
325,88906,25,009,205100
326,50603,25,009,205500
327,49750,25,009,207100
328,77159,25,009,208101
329,77100,25,009,208102
330,78457,25,009,208300
331,72829,25,009,204400
332,113469,25,009,222100
333,43261,25,009,206600
334,106765,25,009,210100
335,84449,25,009,217500
336,51848,25,009,206200
337,136812,25,009,214100
338,45903,25,009,250700
339,171955,25,009,254403
340,78577,25,009,266200
341,83508,25,009,262100
342,159875,25,009,203100
343,82286,25,011,040600
344,63214,25,011,041200
345,32462,25,011,041300
346,62016,25,011,040800
347,39145,25,011,040701
348,71086,25,025,100601
349,87063,25,025,100700
350,46821,25,025,101102
351,109034,25,025,130200
352,137778,25,025,060600
353,55875,25,025,070900
354,31885,25,025,092400
355,103850,25,025,030100
356,42746,25,025,000602
357,20386,25,025,082100
358,44071,25,025,101001
359,128409,25,025,060200
360,37283,25,025,090400
361,81250,25,025,120500
