,Unnamed: 0,Business Name,Neighborhood,name_lower,placekey,safegraph_place_id,location_name,street_address,city,region,postal_code,safegraph_brand_ids,brands,date_range_start,date_range_end,raw_visit_counts,raw_visitor_counts,visits_by_day,poi_cbg,visitor_home_cbgs,visitor_daytime_cbgs,visitor_work_cbgs,visitor_country_of_origin,distance_from_home,median_dwell,bucketed_dwell_times,related_same_day_brand,related_same_month_brand,popularity_by_hour,popularity_by_day,device_type
0,973,Americano Espresso Bar,East Boston,americano espresso bar,26d-222@62j-sj7-rzf,sg:ba3ab7f62fee4456a178ce2b4daaaa7e,Americano Espresso Bar,155 Meridian St,Boston,MA,2128,,,2020-09-01T00:00:00-04:00,2020-10-01T00:00:00-04:00,224,173,"[5,5,18,10,9,11,9,10,5,5,1,5,3,8,9,9,7,12,8,8,5,5,7,12,9,6,6,6,7,4]",250250506001.0,"{""250250505001"":10,""250214561011"":6,""250250501011"":6,""250250507001"":5,""250250502001"":5,""250250512002"":5,""090010427001"":4,""250173165004"":4,""250250504002"":4,""250251606024"":4,""250173425003"":4,""250251104031"":4,""250250509011"":4,""250250510003"":4,""250250510002"":4,""440070110003"":4,""250250506001"":4,""250251707023"":4,""250173423004"":4,""250251704004"":4,""250251708004"":4,""440050401012"":4,""250251602003"":4,""360110416003"":4,""250251707022"":4,""250250507002"":4,""250251606025"":4,""250250507003"":4,""250251703005"":4,""250250512003"":4,""250251801013"":4,""250250503002"":4,""250092055001"":4,""250251708001"":4,""250250501013"":4,""250251601012"":4}","{""250250505001"":6,""250250203011"":5,""250250501013"":5,""250251704003"":4,""360110415004"":4,""250173423004"":4,""250251705011"":4,""250092072002"":4,""250173342002"":4,""250092518003"":4,""250251804001"":4,""250251605011"":4,""250173165004"":4,""250250506002"":4,""250173421024"":4,""250250506001"":4,""250250512003"":4,""250251805001"":4,""250250501011"":4,""250251708004"":4,""250092504001"":4,""250251701007"":4,""250250507003"":4,""250250504001"":4,""371190035001"":4,""250250509011"":4,""250214192002"":4,""250250512002"":4,""250250702003"":4,""250173425003"":4,""250250503002"":4,""250251604001"":4,""250251602003"":4,""250250502001"":4,""250251703006"":4,""171978801152"":4,""250251601012"":4}",{},"{""US"":167}",3180.0,11.0,"{""<5"":8,""5-20"":148,""21-60"":42,""61-240"":23,"">240"":3}","{""Planet Fitness"":20,""McDonald's"":14,""Pollo Campero"":12,""Crunch"":11,""Hooters"":9,""Hyatt Place"":9}","{""Dunkin'"":45,""Market Basket"":31,""Shaw's"":28,""Stop & Shop"":26,""Starbucks"":25,""McDonald's"":25,""Mobil"":25,""Burger King"":23,""CVS"":21,""Target"":16,""Walgreens"":16,""BJ's Wholesale Club"":16,""Subway"":15,""Dollar Tree"":15,""Marshalls"":14,""The Home Depot"":14,""Speedway"":14,""Sunoco"":14,""Simon mall"":13,""Walmart"":12}","[0,1,2,0,0,1,4,24,1,9,24,23,26,21,23,26,20,18,20,22,9,20,19,8]","{""Monday"":28,""Tuesday"":36,""Wednesday"":30,""Thursday"":42,""Friday"":32,""Saturday"":28,""Sunday"":28}","{""android"":93,""ios"":75}"
1,979,Biddy Hair Salon,East Boston,biddy hair salon,23j-222@62j-sj7-rhq,sg:034a50053bbf4751b4f5de195c214e02,Biddy Hair Salon,273 Meridian St,Boston,MA,2128,,,2020-09-01T00:00:00-04:00,2020-10-01T00:00:00-04:00,1,1,"[0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",250250502001.0,"{""482015414001"":4}","{""482015414001"":4}",{},{},,814.0,"{""<5"":0,""5-20"":0,""21-60"":0,""61-240"":0,"">240"":1}",{},"{""Crowne Plaza Hotels and Resorts"":100,""Fiesta Mart"":100,""Rutter's Farm Stores"":100,""24 Hour Fitness"":100,""Godfather's Pizza"":100,""TravelCenters of America"":100,""International Trucks"":99,""Papa John's"":99,""Denny's"":99,""CITGO"":99,""Love's Travel Stops and Country Stores"":99,""Planet Fitness"":99,""Chili's Grill & Bar"":99,""Pilot Flying J"":99,""QuikTrip"":99,""Chipotle Mexican Grill"":98,""Wendy's"":95,""Walgreens"":95,""The Home Depot"":95,""Subway"":95}","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0]","{""Monday"":0,""Tuesday"":0,""Wednesday"":1,""Thursday"":0,""Friday"":0,""Saturday"":0,""Sunday"":0}","{""android"":0,""ios"":0}"
2,988,Cafe Gigu,East Boston,cafe gigu,225-223@62j-sj7-3h5,sg:8b1e1784ee514d1bbf25d08847375594,Cafe Gigu,102 Meridian St,Boston,MA,2128,,,2020-09-01T00:00:00-04:00,2020-10-01T00:00:00-04:00,120,96,"[4,2,5,6,2,2,1,5,5,2,8,5,4,5,8,5,6,6,1,3,8,4,3,1,3,6,4,2,4,0]",250250503001.0,"{""250251803011"":7,""250250503001"":5,""250250511012"":4,""250251706012"":4,""250250502002"":4,""250251102011"":4,""250251605021"":4,""040210017111"":4,""250250507003"":4,""250251704002"":4,""250092057004"":4,""250250509012"":4,""250250501011"":4,""250251703005"":4,""250251606025"":4,""250250506002"":4,""250250507001"":4,""250250505001"":4,""250092067001"":4,""250173423003"":4,""250250918001"":4,""250250501013"":4,""250173422012"":4,""250250501012"":4}","{""250251602003"":6,""250250507003"":6,""250250506002"":5,""250250505001"":5,""250277310011"":4,""250173567021"":4,""250173423003"":4,""040210017111"":4,""250251706012"":4,""250250203011"":4,""250251802003"":4,""250251703005"":4,""250251606025"":4,""250250503001"":4,""250251704002"":4,""250251701004"":4,""250251707012"":4,""250250509012"":4}",{},"{""US"":86}",4486.0,16.5,"{""<5"":2,""5-20"":66,""21-60"":25,""61-240"":22,"">240"":5}","{""McDonald's"":46,""Get Air"":33,""Dunkin'"":24,""Market Basket"":17}","{""Dunkin'"":43,""Market Basket"":36,""Mobil"":20,""BJ's Wholesale Club"":19,""Starbucks"":18,""The Home Depot"":18,""CVS"":17,""Target"":16,""Shaw's"":16,""McDonald's"":15,""Speedway"":15,""7-Eleven"":13,""Walgreens"":13,""Planet Fitness"":12,""Burger King"":12,""Marshalls"":12,""Dollar Tree"":12,""Wendy's"":10,""sweetgreen"":9,""Stop & Shop"":9}","[10,7,6,5,6,5,7,8,8,7,12,21,19,13,10,9,14,14,17,5,5,9,10,11]","{""Monday"":16,""Tuesday"":25,""Wednesday"":15,""Thursday"":14,""Friday"":23,""Saturday"":14,""Sunday"":13}","{""android"":66,""ios"":30}"
3,992,chinese dragon,East Boston,chinese dragon,22t-222@62j-syg-j5f,sg:51040e76fd124501b785fe088c966c2d,Chinese Dragon,380 Chelsea St,Boston,MA,2128,,,2020-09-01T00:00:00-04:00,2020-10-01T00:00:00-04:00,185,76,"[4,6,4,14,8,8,4,6,2,8,10,6,12,5,9,4,5,5,10,5,3,5,3,7,7,10,6,3,4,2]",250250509011.0,"{""250250509011"":9,""250250501011"":5,""250250502003"":4,""250251401071"":4,""250250505001"":4,""250251706013"":4,""250251708004"":4,""250173514031"":4,""250251702004"":4}","{""250251604001"":7,""250092661005"":6,""250250907003"":6,""250251702004"":5,""250250502001"":5,""250250503001"":4,""250173425003"":4,""250251708004"":4,""250250507002"":4,""250092021022"":4,""250250606001"":4,""250092081013"":4,""250250106001"":4,""250251805004"":4,""250250502003"":4,""250251601015"":4,""250251706013"":4,""250214196004"":4,""250173424004"":4,""250173341001"":4}",{},"{""US"":70}",3722.0,24.0,"{""<5"":7,""5-20"":70,""21-60"":42,""61-240"":38,"">240"":28}","{""IHOP"":50,""Target"":32,""Taco Bell"":24,""7-Eleven"":16}","{""Dunkin'"":43,""Market Basket"":42,""McDonald's"":25,""Mobil"":24,""Starbucks"":22,""Stop & Shop"":21,""Planet Fitness"":20,""CVS"":19,""7-Eleven"":19,""The Home Depot"":17,""Target"":17,""Simon mall"":17,""sweetgreen"":13,""Subway"":13,""Burger King"":13,""T.J. Maxx"":12,""Dick's Sporting Goods"":12,""Walgreens"":12,""Walmart"":11,""Sunoco"":11}","[24,26,21,15,12,12,13,13,20,33,35,34,29,27,27,22,20,22,29,24,21,29,30,30]","{""Monday"":15,""Tuesday"":28,""Wednesday"":17,""Thursday"":24,""Friday"":36,""Saturday"":34,""Sunday"":31}","{""android"":41,""ios"":33}"
4,1020,House of Nails,East Boston,house of nails,23n-222@62j-syg-xh5,sg:acceb69f66bb485d94d63dbdbb3f77aa,House of Nails,1020 Bennington St,Boston,MA,2128,,,2020-09-01T00:00:00-04:00,2020-10-01T00:00:00-04:00,14,12,"[2,0,0,0,0,0,0,1,1,0,0,1,1,0,1,2,0,0,0,0,2,1,0,0,0,0,0,2,0,0]",250250511011.0,"{""250250510001"":4,""250250511012"":4}","{""250251708002"":4,""250250503001"":4}",{},"{""US"":10}",3002.0,7.5,"{""<5"":1,""5-20"":11,""21-60"":1,""61-240"":1,"">240"":0}","{""Starbucks"":48}","{""Dunkin'"":55,""Starbucks"":43,""Stop & Shop"":25,""Marshalls"":24,""Walmart"":23,""Burger King"":21,""CVS"":21,""Dollar Tree"":20,""Shaw's"":17,""YMCA"":16,""Burlington"":16,""Toyota"":16,""BJ's Wholesale Club"":16,""Mobil"":15,""Target"":10,""Boston Sports Clubs"":8,""Primark Stores EU"":8,""avid hotels"":8,""Fidelity"":8,""MidiCi Neopolitan Pizza"":8}","[0,0,0,0,0,4,3,1,0,0,1,0,0,1,2,0,1,1,1,0,1,1,0,0]","{""Monday"":4,""Tuesday"":5,""Wednesday"":3,""Thursday"":0,""Friday"":0,""Saturday"":1,""Sunday"":1}","{""android"":5,""ios"":4}"
5,1022,Italian express pizzeria,East Boston,italian express pizzeria,25r-222@62j-sj6-nwk,sg:1071f84255b64f56b21d234ec93b6e1b,Italian Express Pizzeria,336 Sumner St,Boston,MA,2128,,,2020-09-01T00:00:00-04:00,2020-10-01T00:00:00-04:00,77,47,"[4,2,1,5,4,0,4,3,3,2,3,4,0,2,3,1,4,3,2,0,3,3,2,3,5,2,1,2,4,2]",250250504002.0,"{""330130310013"":5,""250250502004"":4,""250250512002"":4,""250250505001"":4,""250092091001"":4,""330151002003"":4,""391230505001"":4,""250250408013"":4}","{""250277581022"":5,""250250502004"":5,""250214202021"":4,""250250512002"":4,""250250505001"":4,""330110028004"":4,""250092092001"":4}",{},"{""US"":40}",7976.0,119.0,"{""<5"":0,""5-20"":16,""21-60"":19,""61-240"":29,"">240"":13}","{""Aloft Hotels"":50,""Dunkin'"":49,""BJ's Wholesale Club"":25}","{""Dunkin'"":33,""Market Basket"":21,""Shaw's"":17,""Stop & Shop"":17,""Walmart"":15,""Mobil"":15,""7-Eleven"":15,""Burger King"":15,""CVS"":15,""The Home Depot"":14,""T.J. Maxx"":13,""McDonald's"":12,""Starbucks"":12,""Sunoco"":11,""BJ's Wholesale Club"":10,""Simon mall"":9,""sweetgreen"":8,""Target"":8,""Marshalls"":8,""Subway"":7}","[12,10,10,10,10,11,13,13,14,13,11,12,9,8,9,7,6,8,11,11,29,33,32,30]","{""Monday"":11,""Tuesday"":17,""Wednesday"":10,""Thursday"":10,""Friday"":16,""Saturday"":12,""Sunday"":1}","{""android"":27,""ios"":20}"
6,1030,La Chiva Restaurant,East Boston,la chiva restaurant,22t-222@62j-sj7-td9,sg:c67877c51f64478188edad8a68fc7f3e,La Chiva Restaurant,259 Bennington St,Boston,MA,2128,,,2020-09-01T00:00:00-04:00,2020-10-01T00:00:00-04:00,273,146,"[8,10,11,10,8,6,12,14,6,5,10,10,16,6,7,9,6,5,12,11,6,9,14,9,10,8,8,10,7,10]",250250502004.0,"{""250250507003"":9,""250250509012"":7,""250173425003"":6,""250173422012"":4,""250251606011"":4,""250250921014"":4,""250173114001"":4,""250250507001"":4,""250250509013"":4,""250250510001"":4,""250251606021"":4,""250092053004"":4,""250251605011"":4,""250251801013"":4,""330150610013"":4,""250173424002"":4,""250259813002"":4,""250250511011"":4,""250251707025"":4,""250250503001"":4,""250250511012"":4,""250250509011"":4,""250251703005"":4,""440070182001"":4,""250250502004"":4,""250173421014"":4,""250251705011"":4,""250251702002"":4}","{""250250001001"":6,""250251606011"":5,""250250921014"":4,""250250510003"":4,""250250606001"":4,""250250511011"":4,""250250505001"":4,""250173704002"":4,""250214192002"":4,""250251703003"":4,""250173631044"":4,""250251304022"":4,""250250502004"":4,""250173613004"":4,""250251706013"":4,""250092521013"":4,""250250502001"":4,""250251605011"":4,""250250704021"":4,""250214035001"":4,""330150600001"":4,""250250303003"":4,""250251601013"":4,""250173422012"":4,""250250507003"":4,""250250506002"":4,""250138011011"":4,""250251606012"":4,""250250509012"":4,""250250511012"":4,""340230012001"":4}",{},"{""US"":135}",3624.0,16.0,"{""<5"":5,""5-20"":150,""21-60"":41,""61-240"":23,"">240"":54}","{""BP"":16,""CVS"":6}","{""Dunkin'"":45,""Market Basket"":32,""Mobil"":32,""Walgreens"":21,""McDonald's"":21,""Burger King"":20,""The Home Depot"":18,""Simon mall"":17,""CVS"":17,""Stop & Shop"":17,""Target"":17,""BJ's Wholesale Club"":17,""Subway"":16,""Starbucks"":16,""Dollar Tree"":16,""Dick's Sporting Goods"":15,""Shaw's"":15,""Wendy's"":14,""Speedway"":12,""7-Eleven"":12}","[32,31,28,25,26,42,45,53,57,52,49,57,65,60,55,50,42,31,26,26,31,31,32,31]","{""Monday"":34,""Tuesday"":45,""Wednesday"":49,""Thursday"":31,""Friday"":35,""Saturday"":38,""Sunday"":41}","{""android"":92,""ios"":50}"
7,1038,Little Asia Restaurant,East Boston,little asia restaurant,234-222@62j-syg-v4v,sg:c6815256d0c348ac84c9da5467e88b7c,Little Asia Restaurant,991 Bennington St,Boston,MA,2128,,,2020-09-01T00:00:00-04:00,2020-10-01T00:00:00-04:00,134,68,"[2,10,4,11,7,6,3,6,4,5,3,12,1,4,4,3,3,2,5,6,3,2,7,8,2,4,3,1,1,2]",250250511011.0,"{""250250502004"":6,""250251802004"":4,""250251805003"":4,""250250510001"":4,""250251802001"":4,""250250503002"":4,""250251802002"":4,""250251708001"":4,""250250511011"":4,""250250501013"":4}","{""250173419025"":5,""250250510001"":5,""440070124021"":4,""330110010003"":4,""250251802004"":4,""250251802001"":4,""250251708001"":4,""250251106072"":4,""250251802002"":4,""250214176023"":4,""250250502004"":4,""131350507184"":4,""250251601013"":4,""250173505001"":4,""250250511013"":4,""250173412005"":4,""250173391004"":4}",{},"{""US"":60}",2360.0,42.5,"{""<5"":3,""5-20"":40,""21-60"":32,""61-240"":31,"">240"":28}","{""Blue Bottle Coffee"":17,""Dodge"":16,""CVS"":16,""Five Below"":12}","{""Dunkin'"":47,""CVS"":34,""Stop & Shop"":29,""Mobil"":27,""Starbucks"":22,""Target"":21,""Market Basket"":20,""Dollar Tree"":16,""Shaw's"":13,""McDonald's"":13,""BJ's Wholesale Club"":13,""The Home Depot"":12,""Subway"":12,""Five Below"":12,""Wendy's"":11,""7-Eleven"":11,""Marshalls"":11,""Simon mall"":10,""Planet Fitness"":9,""Sunoco"":8}","[14,14,14,14,14,14,13,15,14,17,18,18,19,19,24,29,33,27,32,30,21,21,20,13]","{""Monday"":11,""Tuesday"":15,""Wednesday"":26,""Thursday"":20,""Friday"":18,""Saturday"":28,""Sunday"":16}","{""android"":35,""ios"":31}"
8,1048,Mexicali Sushi Bar,East Boston,mexicali sushi bar,2dy-223@62j-sj6-yy9,sg:22f6650f6a6040fba9b1bfbe97453c39,Mexicali Sushi Bar,199 Sumner St,Boston,MA,2128,,,2020-09-01T00:00:00-04:00,2020-10-01T00:00:00-04:00,307,220,"[8,5,14,25,20,16,6,16,10,7,11,6,13,12,7,13,7,20,10,10,10,9,7,5,6,4,4,9,6,11]",250250503002.0,"{""250250503002"":12,""250250505001"":6,""250250501011"":6,""250173424002"":5,""250250502002"":5,""250251701001"":5,""250251601013"":4,""250250611011"":4,""250092021023"":4,""250250510001"":4,""250092072001"":4,""250092041022"":4,""250250501013"":4,""250250507003"":4,""250277491002"":4,""250250506001"":4,""250250512002"":4,""250251707023"":4,""250173419024"":4,""250250711012"":4,""250173363005"":4,""250250503001"":4,""250173401004"":4,""250173418006"":4,""250092611023"":4,""250251708002"":4,""250251707022"":4,""250250501012"":4,""250250510003"":4,""250250507001"":4}","{""250250704021"":7,""250250506002"":6,""250173613004"":5,""250250503002"":5,""250250502002"":4,""250092532043"":4,""250250401002"":4,""250250705004"":4,""250092021023"":4,""250250509013"":4,""250251801013"":4,""250251707025"":4,""250173502004"":4,""250250510001"":4,""250251104011"":4,""250250503001"":4,""250250511011"":4,""250250919004"":4,""250251707023"":4,""250250512001"":4,""250251605012"":4,""250250505001"":4,""250251705011"":4,""250250810011"":4,""250250501012"":4,""250251702001"":4,""250250203011"":4,""250251707022"":4,""250250509012"":4,""250250504001"":4}",{},"{""US"":189}",4123.0,11.0,"{""<5"":26,""5-20"":183,""21-60"":41,""61-240"":34,"">240"":23}","{""Eaton Apothecary"":25,""Dunkin'"":16,""Starbucks"":14,""CVS"":12,""Michaels Stores"":7,""lululemon athletica"":7,""GameStop"":5}","{""Dunkin'"":41,""Market Basket"":24,""Starbucks"":22,""Burger King"":21,""Shaw's"":18,""Marshalls"":16,""Target"":15,""CVS"":12,""BJ's Wholesale Club"":12,""Stop & Shop"":11,""The Home Depot"":10,""7-Eleven"":10,""Mobil"":9,""T.J. Maxx"":8,""sweetgreen"":8,""Subway"":7,""Pollo Campero"":7,""CrossFit"":7,""Planet Fitness"":6,""Burlington"":6}","[15,13,14,15,17,20,32,29,21,28,34,35,28,33,36,27,35,37,29,25,29,44,40,20]","{""Monday"":37,""Tuesday"":46,""Wednesday"":46,""Thursday"":33,""Friday"":62,""Saturday"":40,""Sunday"":43}","{""android"":164,""ios"":61}"
9,1055,Pazza On Porter,East Boston,pazza on porter,23t-222@62j-sj6-qvf,sg:b4342bd2284e4f488a5542bc0814bd87,Pazza on Porter,107 Porter St,Boston,MA,2128,,,2020-09-01T00:00:00-04:00,2020-10-01T00:00:00-04:00,251,133,"[4,12,11,11,9,12,8,10,12,10,11,14,11,8,8,3,5,4,9,7,6,7,8,6,13,3,7,7,11,4]",250250506001.0,"{""250250503002"":5,""121170213142"":5,""250250512001"":5,""250250501012"":4,""250250507001"":4,""250250506001"":4,""250250511013"":4,""250251804002"":4,""250173155006"":4,""250250511014"":4,""250277102004"":4,""250250505001"":4,""360810659001"":4,""250250107021"":4,""250214005001"":4,""250250504002"":4,""250092105004"":4,""250251802001"":4,""250250510003"":4,""290470213061"":4,""250092113001"":4,""250251702002"":4,""400272012011"":4,""250250002013"":4,""250173424002"":4,""250173514031"":4,""250056409015"":4}","{""250250612001"":6,""250250511013"":6,""250250505001"":5,""250173514041"":4,""250235105012"":4,""330110009011"":4,""250092105003"":4,""250251707011"":4,""250173573001"":4,""250250002013"":4,""250092513001"":4,""440050403032"":4,""250251704003"":4,""250250506002"":4,""121170213121"":4,""250056121003"":4,""250173504002"":4,""250173701013"":4,""250250504001"":4,""250250507001"":4,""250173621002"":4,""250250501012"":4,""250173505002"":4}",{},"{""US"":116}",5149.0,71.0,"{""<5"":5,""5-20"":57,""21-60"":52,""61-240"":81,"">240"":56}","{""BJ's Wholesale Club"":25,""Walgreens"":24,""Mobil"":14,""Pollo Campero"":12,""Sears Home Services"":12}","{""Dunkin'"":38,""Starbucks"":25,""Market Basket"":22,""Mobil"":20,""CVS"":18,""Target"":17,""Shaw's"":17,""Simon mall"":16,""Walgreens"":13,""Stop & Shop"":12,""T.J. Maxx"":11,""Speedway"":11,""Dick's Sporting Goods"":10,""The Home Depot"":10,""Subway"":10,""Loyal Companion"":9,""Hyatt Regency"":9,""Embassy Suites Hotels"":9,""Wendy's"":9,""Planet Fitness"":9}","[52,47,43,42,40,39,43,50,50,55,50,46,54,58,60,52,59,57,75,67,61,61,58,55]","{""Monday"":29,""Tuesday"":40,""Wednesday"":39,""Thursday"":32,""Friday"":39,""Saturday"":35,""Sunday"":37}","{""android"":50,""ios"":83}"
