,Unnamed: 0,Business Name,Business Zip Code,Neighborhood,name_lower,placekey,safegraph_place_id,location_name,street_address,city,region,postal_code,safegraph_brand_ids,brands,date_range_start,date_range_end,raw_visit_counts,raw_visitor_counts,visits_by_day,poi_cbg,visitor_home_cbgs,visitor_daytime_cbgs,visitor_work_cbgs,visitor_country_of_origin,distance_from_home,median_dwell,bucketed_dwell_times,related_same_day_brand,related_same_month_brand,popularity_by_hour,popularity_by_day,device_type
10,428,House of Nails,2128.0,East Boston,house of nails,23n-222@62j-syg-xh5,sg:acceb69f66bb485d94d63dbdbb3f77aa,House of Nails,1020 Bennington St,Boston,MA,2128,,,2020-09-01T00:00:00-04:00,2020-10-01T00:00:00-04:00,14,12,"[2,0,0,0,0,0,0,1,1,0,0,1,1,0,1,2,0,0,0,0,2,1,0,0,0,0,0,2,0,0]",250250511011.0,"{""250250510001"":4,""250250511012"":4}","{""250251708002"":4,""250250503001"":4}",{},"{""US"":10}",3002.0,7.5,"{""<5"":1,""5-20"":11,""21-60"":1,""61-240"":1,"">240"":0}","{""Starbucks"":48}","{""Dunkin'"":55,""Starbucks"":43,""Stop & Shop"":25,""Marshalls"":24,""Walmart"":23,""Burger King"":21,""CVS"":21,""Dollar Tree"":20,""Shaw's"":17,""YMCA"":16,""Burlington"":16,""Toyota"":16,""BJ's Wholesale Club"":16,""Mobil"":15,""Target"":10,""Boston Sports Clubs"":8,""Primark Stores EU"":8,""avid hotels"":8,""Fidelity"":8,""MidiCi Neopolitan Pizza"":8}","[0,0,0,0,0,4,3,1,0,0,1,0,0,1,2,0,1,1,1,0,1,1,0,0]","{""Monday"":4,""Tuesday"":5,""Wednesday"":3,""Thursday"":0,""Friday"":0,""Saturday"":1,""Sunday"":1}","{""android"":5,""ios"":4}"
11,518,L Street Tavern,2127.0,South Boston,l street tavern,zzw-222@62j-sjk-26k,sg:a6c088cb5fe8415e9ee3821993efb284,L Street Tavern,195 L St,Boston,MA,2127,,,2020-09-01T00:00:00-04:00,2020-10-01T00:00:00-04:00,86,42,"[2,1,2,1,1,3,3,3,3,6,4,3,6,4,1,1,1,6,1,1,3,2,4,2,3,1,7,4,3,4]",250250603012.0,"{""250158214003"":4,""250250603012"":4,""250251102011"":4,""250173840021"":4,""250250604003"":4,""250173501031"":4}","{""250173241023"":4,""250277411024"":4,""250250604003"":4,""250250601011"":4}",{},"{""US"":33}",10401.0,95.5,"{""<5"":1,""5-20"":23,""21-60"":12,""61-240"":15,"">240"":35}","{""Starbucks"":98}","{""Dunkin'"":37,""Starbucks"":19,""Cumberland Farms"":16,""Loyal Companion"":14,""Mobil"":12,""Staples"":11,""Chipotle Mexican Grill"":10,""GameStop"":10,""Shell Oil"":10,""Speedway"":10,""Legal Sea Foods"":10,""Simon mall"":8,""Target"":8,""Burger King"":7,""7-Eleven"":7,""Regina Pizzeria"":7,""Dollar Tree"":7,""Stop & Shop"":7,""Marshalls"":6,""Subway"":6}","[28,28,28,29,29,29,29,30,31,31,34,35,31,29,26,25,19,20,11,11,16,20,24,27]","{""Monday"":14,""Tuesday"":11,""Wednesday"":13,""Thursday"":11,""Friday"":14,""Saturday"":6,""Sunday"":17}","{""android"":14,""ios"":28}"
12,518,L Street Tavern,2127.0,South Boston,l street tavern,283-222@62j-sjk-26k,sg:d964324e5ab344999abfe34f131112bf,L Street Tavern,658A E 8th St,Boston,MA,2127,,,2020-09-01T00:00:00-04:00,2020-10-01T00:00:00-04:00,101,55,"[0,5,2,1,2,2,4,4,5,5,4,9,3,1,1,2,10,4,5,5,1,3,4,4,5,3,3,1,1,2]",250250603012.0,"{""090034771013"":4,""250250601011"":4,""250250605014"":4,""250214173001"":4,""250235001041"":4,""250173415003"":4,""060730170472"":4,""250250604003"":4,""250250602002"":4,""250214227004"":4,""250250602001"":4}","{""210150704023"":6,""250214111005"":4,""250259812021"":4,""250214023003"":4,""250251803014"":4,""250250603011"":4,""250250604003"":4,""250173415003"":4}",{},"{""US"":43}",2204.0,91.0,"{""<5"":1,""5-20"":15,""21-60"":26,""61-240"":31,"">240"":28}","{""Starbucks"":48}","{""Dunkin'"":27,""Stop & Shop"":18,""Starbucks"":13,""BJ's Wholesale Club"":10,""Target"":10,""Chipotle Mexican Grill"":9,""Loyal Companion"":9,""Mobil"":9,""Boys & Girls Clubs of America"":9,""Shell Oil"":8,""Planet Fitness"":8,""Trader Joe's"":7,""Staples"":6,""Panera Bread"":6,""Legal Sea Foods"":5,""Sunoco"":5,""Market Basket"":5,""Hyatt Place"":5,""T.J. Maxx"":5,""7-Eleven"":5}","[19,18,17,19,19,19,20,22,24,24,22,25,24,26,21,22,18,22,28,21,20,26,28,25]","{""Monday"":7,""Tuesday"":9,""Wednesday"":18,""Thursday"":21,""Friday"":14,""Saturday"":19,""Sunday"":13}","{""android"":10,""ios"":43}"
13,556,Little Asia Restaurant,2128.0,East Boston,little asia restaurant,234-222@62j-syg-v4v,sg:c6815256d0c348ac84c9da5467e88b7c,Little Asia Restaurant,991 Bennington St,Boston,MA,2128,,,2020-09-01T00:00:00-04:00,2020-10-01T00:00:00-04:00,134,68,"[2,10,4,11,7,6,3,6,4,5,3,12,1,4,4,3,3,2,5,6,3,2,7,8,2,4,3,1,1,2]",250250511011.0,"{""250250502004"":6,""250251802004"":4,""250251805003"":4,""250250510001"":4,""250251802001"":4,""250250503002"":4,""250251802002"":4,""250251708001"":4,""250250511011"":4,""250250501013"":4}","{""250173419025"":5,""250250510001"":5,""440070124021"":4,""330110010003"":4,""250251802004"":4,""250251802001"":4,""250251708001"":4,""250251106072"":4,""250251802002"":4,""250214176023"":4,""250250502004"":4,""131350507184"":4,""250251601013"":4,""250173505001"":4,""250250511013"":4,""250173412005"":4,""250173391004"":4}",{},"{""US"":60}",2360.0,42.5,"{""<5"":3,""5-20"":40,""21-60"":32,""61-240"":31,"">240"":28}","{""Blue Bottle Coffee"":17,""Dodge"":16,""CVS"":16,""Five Below"":12}","{""Dunkin'"":47,""CVS"":34,""Stop & Shop"":29,""Mobil"":27,""Starbucks"":22,""Target"":21,""Market Basket"":20,""Dollar Tree"":16,""Shaw's"":13,""McDonald's"":13,""BJ's Wholesale Club"":13,""The Home Depot"":12,""Subway"":12,""Five Below"":12,""Wendy's"":11,""7-Eleven"":11,""Marshalls"":11,""Simon mall"":10,""Planet Fitness"":9,""Sunoco"":8}","[14,14,14,14,14,14,13,15,14,17,18,18,19,19,24,29,33,27,32,30,21,21,20,13]","{""Monday"":11,""Tuesday"":15,""Wednesday"":26,""Thursday"":20,""Friday"":18,""Saturday"":28,""Sunday"":16}","{""android"":35,""ios"":31}"
14,573,los arrieros,2128.0,East Boston,los arrieros,24t-222@62j-sj6-n89,sg:7df46480c68645d0b9333d4fbd3691f9,Los Arrieros,13 Meridian St,Boston,MA,2128,,,2020-09-01T00:00:00-04:00,2020-10-01T00:00:00-04:00,185,95,"[6,6,6,7,10,3,3,4,9,10,9,4,7,2,12,5,3,13,7,4,3,3,5,3,7,7,8,7,6,6]",250250506002.0,"{""250250501013"":4,""250250504002"":4,""250092021023"":4,""250251706011"":4,""250251701001"":4,""250251707011"":4,""250250512002"":4,""250250506001"":4,""250250507001"":4,""250173840022"":4,""250250502001"":4,""250250510001"":4,""250250511011"":4,""250250503001"":4,""250173528002"":4,""250251707022"":4,""250251604002"":4,""250250509011"":4,""250250509012"":4}","{""250250503001"":7,""250173302001"":7,""250250501011"":5,""250251706011"":4,""250251707022"":4,""250250507002"":4,""250173682004"":4,""250250506002"":4,""250251803013"":4,""250173413002"":4,""250250504001"":4,""250251701004"":4,""250250702003"":4,""250250001001"":4,""250214003003"":4,""250250510003"":4,""250251604001"":4}",{},"{""US"":89}",3173.0,36.0,"{""<5"":4,""5-20"":72,""21-60"":24,""61-240"":55,"">240"":30}","{""99 Restaurants"":25,""Cumberland Farms"":25,""Pollo Campero"":20,""Dunkin'"":19,""Subway"":13,""Speedway"":12}","{""Dunkin'"":39,""Burger King"":27,""Market Basket"":23,""Shaw's"":21,""The Home Depot"":19,""Mobil"":18,""BJ's Wholesale Club"":16,""CVS"":16,""Target"":14,""Starbucks"":14,""Walgreens"":12,""Subway"":11,""Marshalls"":11,""Stop & Shop"":10,""Sunoco"":10,""7-Eleven"":9,""Simon mall"":9,""T.J. Maxx"":8,""Pollo Campero"":8,""Speedway"":8}","[16,10,6,5,4,4,7,10,17,31,33,36,37,40,33,37,40,41,35,25,26,29,34,31]","{""Monday"":15,""Tuesday"":31,""Wednesday"":31,""Thursday"":22,""Friday"":36,""Saturday"":28,""Sunday"":22}","{""android"":68,""ios"":26}"
15,627,Mi Pueblito Restaurant,2128.0,East Boston,mi pueblito restaurant,22r-222@62j-sj5-djv,sg:d0c7f69ce6eb487c95cba4e7d271f5ec,Mi Pueblito Restaurant,333 Border St,Boston,MA,2128,,,2020-09-01T00:00:00-04:00,2020-10-01T00:00:00-04:00,306,154,"[11,8,12,14,12,14,8,13,8,12,6,9,14,7,3,8,12,10,13,13,8,12,15,13,7,8,9,8,11,8]",250250501012.0,"{""250250501012"":7,""250250502001"":6,""250173421012"":5,""250250501013"":5,""250173422012"":4,""250250510002"":4,""250092061002"":4,""250173703005"":4,""250173573002"":4,""250251602003"":4,""250251606025"":4,""250173502001"":4,""250250509011"":4,""360593042023"":4,""250250607001"":4,""250173512042"":4,""250173513001"":4,""440070012001"":4,""250251704003"":4,""250250507003"":4,""250251601015"":4,""250251704004"":4,""250250503001"":4,""120990076071"":4,""250250507001"":4,""250250510001"":4,""360810339003"":4,""250092103003"":4,""250214152002"":4,""250235302003"":4,""250092081024"":4,""250092059003"":4}","{""250250501013"":9,""250173502001"":6,""250250501012"":5,""250250502001"":4,""250092081024"":4,""250214192002"":4,""250092103003"":4,""250250001001"":4,""250250408012"":4,""330110021003"":4,""250251707024"":4,""250251601015"":4,""250173703005"":4,""440070012001"":4,""250173573002"":4,""250173422012"":4,""440070109002"":4,""250173823001"":4,""250173421011"":4,""250250509011"":4,""250235113015"":4,""250235108006"":4,""250214131005"":4,""130630405143"":4,""250250201012"":4,""250250502002"":4}",{},"{""US"":128}",5368.0,63.0,"{""<5"":4,""5-20"":73,""21-60"":73,""61-240"":82,"">240"":74}","{""Party City"":14,""Ford Motor Company"":14,""PetSmart"":14,""Hard Rock Cafe"":10,""Wendy's"":9,""Nautica"":9,""Ocean State Job Lot"":9,""Dunkin'"":9}","{""Dunkin'"":34,""McDonald's"":28,""Market Basket"":27,""Mobil"":21,""CVS"":20,""Burger King"":19,""Shaw's"":18,""Target"":17,""Simon mall"":16,""The Home Depot"":15,""Stop & Shop"":15,""Wendy's"":14,""Starbucks"":13,""7-Eleven"":11,""Planet Fitness"":10,""Speedway"":10,""BJ's Wholesale Club"":10,""Walmart"":9,""Party City"":8,""Walgreens"":8}","[53,52,55,54,54,54,60,65,62,61,61,68,77,69,63,46,55,75,67,49,55,56,51,49]","{""Monday"":31,""Tuesday"":50,""Wednesday"":47,""Thursday"":49,""Friday"":37,""Saturday"":42,""Sunday"":50}","{""android"":70,""ios"":86}"
16,636,Minas Beauty Salon,2128.0,East Boston,minas beauty salon,234-222@62j-sj7-qpv,sg:4315e447882247319475c3af87808d21,Minas Beauty Salon,154 Chelsea St,Boston,MA,2128,,,2020-09-01T00:00:00-04:00,2020-10-01T00:00:00-04:00,86,43,"[3,5,6,3,7,3,2,0,0,1,4,5,2,1,0,3,3,5,7,1,0,1,4,4,4,2,2,2,3,3]",250250507001.0,"{""250250507001"":5,""250092083002"":4,""250250507003"":4,""250251601015"":4,""250250813003"":4,""250214131001"":4,""250251403005"":4,""250092052004"":4}","{""250250510002"":5,""250250813003"":4,""250092083002"":4,""250250810011"":4,""250173124002"":4,""250250806013"":4,""250250507003"":4}",{},"{""US"":34}",4451.0,76.0,"{""<5"":1,""5-20"":27,""21-60"":12,""61-240"":23,"">240"":23}","{""Sunoco"":33,""Chili's Grill & Bar"":25}","{""Dunkin'"":36,""Market Basket"":23,""Mobil"":19,""Burger King"":14,""CVS"":14,""Cumberland Farms"":14,""Starbucks"":14,""Stop & Shop"":14,""McDonald's"":12,""Expressions Shoes "":12,""Shaw's"":12,""Walgreens"":11,""BJ's Wholesale Club"":11,""The Home Depot"":11,""Planet Fitness"":10,""Sunoco"":10,""7-Eleven"":9,""The Salvation Army"":9,""YMCA"":9,""Family Dollar Stores"":9}","[9,5,6,6,7,5,9,11,12,18,28,28,29,21,23,25,24,20,12,11,8,7,9,10]","{""Monday"":5,""Tuesday"":7,""Wednesday"":15,""Thursday"":14,""Friday"":16,""Saturday"":21,""Sunday"":8}","{""android"":18,""ios"":19}"
17,650,Moonshine 152,2127.0,South Boston,moonshine 152,24h-222@62j-shz-6tv,sg:16307943b6474c5f83709c0d898ca35b,Moonshine 152,152 Dorchester Ave,Boston,MA,2127,,,2020-09-01T00:00:00-04:00,2020-10-01T00:00:00-04:00,204,109,"[12,1,4,7,3,8,2,5,11,11,8,7,8,5,7,9,8,10,5,2,9,8,9,6,10,2,4,5,10,8]",250250612001.0,"{""250092064003"":5,""250056313003"":5,""250235081023"":5,""250214176014"":4,""250251402022"":4,""250214202023"":4,""250250924005"":4,""250250920002"":4,""250235401032"":4,""250173391001"":4,""250173419026"":4,""250251001001"":4,""250250820002"":4,""250173834001"":4,""120860098061"":4,""250250507003"":4,""250277503001"":4,""330151021001"":4,""250235306003"":4,""250250605012"":4}","{""250214035001"":5,""250251404007"":5,""250214203011"":5,""330151021001"":4,""250250612001"":4,""250250605011"":4,""250251401024"":4,""250251402022"":4,""250251008006"":4,""250214202023"":4,""250251402024"":4,""250250810011"":4,""250235102001"":4,""250173821003"":4,""250251010022"":4,""250059855001"":4,""250250701012"":4,""250173531022"":4,""131050005002"":4,""250056122003"":4,""250173738003"":4,""250250608002"":4,""250251605022"":4,""250235102004"":4,""250235061023"":4,""250250924005"":4,""500259673001"":4}",{},"{""US"":96}",15741.0,31.5,"{""<5"":11,""5-20"":71,""21-60"":41,""61-240"":31,"">240"":50}","{""sweetgreen"":17,""Dollar Tree"":12,""Hilton International"":11}","{""Dunkin'"":43,""Mobil"":23,""Stop & Shop"":21,""CVS"":20,""Market Basket"":17,""The Home Depot"":17,""Starbucks"":16,""sweetgreen"":15,""Cumberland Farms"":14,""Burger King"":14,""McDonald's"":13,""Chipotle Mexican Grill"":13,""Loyal Companion"":13,""Shaw's"":13,""Shell Oil"":13,""Speedway"":13,""Subway"":12,""Sunoco"":12,""Target"":12,""Planet Fitness"":11}","[19,19,18,17,21,23,24,32,44,51,53,62,60,47,50,34,24,22,16,13,22,21,23,22]","{""Monday"":21,""Tuesday"":42,""Wednesday"":38,""Thursday"":29,""Friday"":35,""Saturday"":17,""Sunday"":22}","{""android"":56,""ios"":57}"
18,674,Napoles Restaurant,2128.0,East Boston,napoles restaurant,zzw-223@62j-syc-9fz,sg:2eb4e2d5d8b34af0a9ac037ccc52d1d9,Napoles Restaurant,1233 Bennington St,Boston,MA,2128,,,2020-09-01T00:00:00-04:00,2020-10-01T00:00:00-04:00,173,78,"[10,8,3,9,6,1,2,2,8,10,8,7,2,8,4,7,8,5,4,4,3,8,4,6,9,3,4,9,6,5]",250250511014.0,"{""250250511012"":7,""250173426003"":4,""090093526002"":4,""250092068002"":4,""250251605011"":4,""250214182004"":4,""250250504001"":4,""250251707012"":4,""250250510002"":4,""250250511011"":4,""250250511014"":4}","{""250250511014"":5,""250250509011"":4,""250251702004"":4,""250092081014"":4,""250251708002"":4,""250173541002"":4,""250250612001"":4,""250250511012"":4,""250251705022"":4,""250250502002"":4,""250251707023"":4,""250173426003"":4,""250251605011"":4,""250214182004"":4,""250251707012"":4,""250250303002"":4,""250251803014"":4,""250251708001"":4}",{},"{""US"":68}",3651.0,84.0,"{""<5"":5,""5-20"":45,""21-60"":29,""61-240"":65,"">240"":29}","{""Pet Supplies Plus"":25,""avid hotels"":20,""Dunkin'"":16}","{""Dunkin'"":41,""Market Basket"":29,""Stop & Shop"":29,""CVS"":25,""Mobil"":25,""Dollar Tree"":21,""Planet Fitness"":14,""Target"":14,""Sunoco"":13,""Starbucks"":13,""The Home Depot"":13,""McDonald's"":12,""BJ's Wholesale Club"":12,""7-Eleven"":12,""Shaw's"":11,""Burger King"":11,""CrossFit"":11,""Taco Bell"":9,""Walgreens"":9,""Subway"":9}","[11,8,6,8,6,10,10,33,46,42,39,28,29,46,46,38,38,20,13,14,14,15,13,13]","{""Monday"":22,""Tuesday"":30,""Wednesday"":32,""Thursday"":27,""Friday"":31,""Saturday"":20,""Sunday"":11}","{""android"":48,""ios"":30}"
19,717,Paris Creperie Seaport,2210.0,South Boston Waterfront,paris creperie seaport,22w-222@62j-shy-pvz,sg:17a903cd97774b12976f46f9f26687a3,Paris Creperie Seaport,60 Seaport Blvd,Boston,MA,2210,,,2020-09-01T00:00:00-04:00,2020-10-01T00:00:00-04:00,54,45,"[4,1,3,4,2,1,0,0,3,0,0,4,1,1,1,2,1,2,3,4,2,0,1,1,2,5,3,0,1,2]",250250606001.0,"{""230050025025"":4,""250173703002"":4,""250173735004"":4,""250214561021"":4,""250250701011"":4,""250251205002"":4,""250214421023"":4,""250251803013"":4,""250250303001"":4,""060590626392"":4,""250173353022"":4,""440070174003"":4}","{""250250606001"":5,""250173631022"":4,""250250303001"":4,""250214143001"":4,""250092543011"":4,""440070026003"":4,""250173735004"":4,""250214561021"":4,""250214421023"":4,""250250612001"":4,""250250701011"":4,""250173703002"":4,""250173394002"":4}",{},"{""US"":43}",17898.0,41.0,"{""<5"":0,""5-20"":19,""21-60"":13,""61-240"":17,"">240"":5}","{""United States Postal Service (USPS)"":49,""Shake Shack"":33}","{""sweetgreen"":27,""Starbucks"":26,""Dunkin'"":25,""CVS"":20,""Stop & Shop"":20,""BJ's Wholesale Club"":15,""Target"":13,""Market Basket"":13,""Equinox Fitness Clubs"":11,""Loyal Companion"":11,""Shake Shack"":11,""Trader Joe's"":11,""Walgreens"":10,""The Home Depot"":10,""Chipotle Mexican Grill"":10,""GameStop"":9,""Wagamama"":9,""Legal Sea Foods"":9,""honeygrow"":9,""Chart House"":9}","[6,6,6,5,5,6,5,5,5,6,8,7,5,5,4,9,11,11,6,3,15,13,12,6]","{""Monday"":3,""Tuesday"":6,""Wednesday"":9,""Thursday"":5,""Friday"":8,""Saturday"":14,""Sunday"":9}","{""android"":12,""ios"":28}"
20,746,POLLOS A LA BRASA BETOS,2128.0,East Boston,pollos a la brasa betos,22k-222@62j-sj7-s3q,sg:fd403b9a282b42319fb3f7e48f986708,Pollos A La Brasa Betos,69 Bennington St,Boston,MA,2128,,,2020-09-01T00:00:00-04:00,2020-10-01T00:00:00-04:00,114,72,"[5,6,0,1,4,4,1,2,2,5,3,4,3,8,2,4,1,3,5,4,1,4,5,4,2,6,7,6,9,3]",250250507001.0,"{""250251708001"":5,""250250501013"":5,""250173685002"":4,""250250509011"":4,""250173831012"":4,""330110006001"":4,""250250505001"":4,""250250501011"":4,""250250504002"":4,""250251701007"":4,""250251707023"":4,""250173424004"":4,""330150560001"":4,""250250502001"":4,""250214001003"":4,""250251707012"":4,""250250511011"":4}","{""250251606011"":4,""250250502001"":4,""250250203032"":4,""250250507001"":4,""250173311022"":4,""250173364021"":4,""250251707012"":4,""250250505001"":4,""170311506003"":4,""250214012002"":4,""250250501013"":4,""250173826012"":4}",{},"{""US"":59}",3180.0,33.0,"{""<5"":2,""5-20"":44,""21-60"":23,""61-240"":21,"">240"":24}","{""United States Postal Service (USPS)"":33}","{""Dunkin'"":35,""Shaw's"":22,""Market Basket"":17,""Mobil"":16,""Walgreens"":14,""The Home Depot"":14,""BJ's Wholesale Club"":13,""7-Eleven"":13,""McDonald's"":13,""Subway"":13,""Burger King"":12,""Stop & Shop"":12,""Starbucks"":11,""Gulf Oil"":11,""Pollo Campero"":10,""sweetgreen"":8,""Marshalls"":8,""Dollar Tree"":7,""AutoZone"":7,""Wendy's"":6}","[14,13,11,12,11,11,12,12,17,20,19,23,22,27,26,29,31,25,23,21,15,16,13,14]","{""Monday"":16,""Tuesday"":22,""Wednesday"":20,""Thursday"":10,""Friday"":9,""Saturday"":19,""Sunday"":18}","{""android"":44,""ios"":30}"
21,864,Southie's Own,2127.0,South Boston,southie's own,23c-222@62j-sjk-jjv,sg:53506732aa9940d182f58303bc622b1f,Southie's Own,396 W Broadway,Boston,MA,2127,,,2020-09-01T00:00:00-04:00,2020-10-01T00:00:00-04:00,102,44,"[3,5,3,2,1,2,1,4,7,7,5,2,2,4,1,4,5,3,4,4,4,1,3,3,4,6,4,3,3,2]",250250606001.0,"{""250250801001"":5,""250250607001"":4,""440070174003"":4,""330150540001"":4,""250250819002"":4,""250173563001"":4,""250173565003"":4,""250250107021"":4,""250250611011"":4,""250277382022"":4}","{""250250904003"":4,""250250607001"":4,""250214025001"":4,""330150590001"":4,""250259813002"":4,""250250608003"":4,""250250203032"":4}",{},"{""US"":37}",4913.0,79.5,"{""<5"":2,""5-20"":29,""21-60"":15,""61-240"":23,"">240"":33}","{""Hilton Garden Inn"":20}","{""Dunkin'"":49,""CVS"":30,""Stop & Shop"":29,""Loyal Companion"":23,""Starbucks"":20,""Mobil"":18,""Burger King"":18,""sweetgreen"":18,""Market Basket"":18,""BJ's Wholesale Club"":18,""The Home Depot"":15,""McDonald's"":14,""Speedway"":14,""Target"":14,""Walgreens"":13,""Simon mall"":12,""Sunoco"":12,""Btone Fitness"":11,""Wendy's"":11,""Trader Joe's"":11}","[27,25,25,24,23,24,32,25,13,16,15,12,16,14,14,19,19,15,8,5,13,11,27,26]","{""Monday"":12,""Tuesday"":12,""Wednesday"":21,""Thursday"":18,""Friday"":14,""Saturday"":13,""Sunday"":12}","{""android"":18,""ios"":22}"
22,890,Sunny Florists,2127.0,South Boston,sunny florists,27b-222@62j-shz-6rk,sg:48c1e56da4554d739937c486a157b8aa,Sunny Florists,9 W Broadway # R123,Boston,MA,2127,,,2020-09-01T00:00:00-04:00,2020-10-01T00:00:00-04:00,430,248,"[13,11,20,16,20,19,10,15,17,16,13,11,10,13,10,15,15,4,11,11,16,11,15,26,20,8,19,15,16,14]",250250612001.0,"{""250250612001"":13,""250173373003"":6,""250250606001"":5,""250259818001"":4,""250010130021"":4,""250250602001"":4,""250173826022"":4,""250250104051"":4,""250173704001"":4,""250250605014"":4,""250251007002"":4,""250173353011"":4,""250214180041"":4,""250250005024"":4,""250250303002"":4,""250250811002"":4,""250250008032"":4,""250138011011"":4,""250251203013"":4,""250214178011"":4,""250250806011"":4,""250250703002"":4,""250250909011"":4,""250214061013"":4,""250214002001"":4,""250259812021"":4,""250250704021"":4,""250056532033"":4,""250250904003"":4,""250250604004"":4,""250173106021"":4}","{""250250612001"":8,""250250005022"":6,""340030421001"":5,""250250608003"":5,""250251007002"":5,""250056122001"":4,""250250607001"":4,""250250403001"":4,""250250404011"":4,""250250704021"":4,""250173415004"":4,""250250104081"":4,""250214198002"":4,""250250811002"":4,""250250104052"":4,""340030192032"":4,""250235041013"":4,""250173825002"":4,""250250107011"":4,""250250511014"":4,""250250605011"":4,""250250606001"":4,""250250103002"":4,""250251001004"":4,""250214571003"":4,""250235104001"":4,""250251104034"":4,""250250505001"":4,""250250301002"":4,""250250604004"":4,""340170076002"":4,""250214024006"":4,""250250304002"":4,""250250904003"":4,""340258111012"":4,""250250612002"":4}",{},"{""US"":181}",7661.0,40.0,"{""<5"":11,""5-20"":138,""21-60"":103,""61-240"":135,"">240"":43}","{""Dunkin'"":12,""LA Fitness"":11,""Irving Oil"":10,""Stop & Shop"":10,""Kiehl's"":9,""LongHorn Steakhouse"":7,""Starbucks"":6}","{""Dunkin'"":26,""Starbucks"":15,""Stop & Shop"":9,""CVS"":9,""Loyal Companion"":8,""sweetgreen"":8,""Cambria Suites"":8,""7-Eleven"":6,""T.J. Maxx"":6,""Market Basket"":6,""Mobil"":6,""BJ's Wholesale Club"":5}","[40,24,16,28,40,54,53,39,39,43,48,53,51,51,50,42,50,40,40,42,72,86,80,42]","{""Monday"":54,""Tuesday"":65,""Wednesday"":72,""Thursday"":77,""Friday"":53,""Saturday"":50,""Sunday"":59}","{""android"":77,""ios"":166}"
23,907,Taqueria Jalisco,2128.0,East Boston,taqueria jalisco,24b-222@62j-syg-j7q,sg:153fb471efec4b0fbed7cf1abf158bc2,Taqueria Jalisco,291 Bennington St,Boston,MA,2128,,,2020-09-01T00:00:00-04:00,2020-10-01T00:00:00-04:00,34,30,"[0,2,0,0,1,3,0,4,0,1,1,1,1,2,0,2,2,0,2,0,2,1,0,0,3,1,2,0,2,1]",250250509011.0,"{""250250503001"":4,""330150035003"":4,""250173537003"":4,""250214021014"":4}","{""250251707023"":6,""250092531003"":4,""250250610003"":4,""250251702001"":4,""250250711011"":4,""250138121042"":4}",{},"{""US"":22}",10022.0,63.0,"{""<5"":0,""5-20"":10,""21-60"":7,""61-240"":3,"">240"":14}",{},"{""Dunkin'"":37,""CVS"":26,""Market Basket"":20,""Sunoco"":18,""The Home Depot"":18,""BJ's Wholesale Club"":16,""Stop & Shop"":13,""Staples"":12,""Burger King"":12,""Dick's Sporting Goods"":12,""Walgreens"":12,""Simon mall"":12,""Mobil"":11,""Domino's Pizza"":9,""Dollar Tree"":8,""BP"":7,""Shell Oil"":7,""Expressions Shoes "":7,""Legal Sea Foods"":7,""Friendly's"":7}","[10,10,10,10,10,10,12,15,15,14,16,12,14,9,8,7,5,4,6,2,6,9,10,10]","{""Monday"":4,""Tuesday"":7,""Wednesday"":5,""Thursday"":3,""Friday"":4,""Saturday"":5,""Sunday"":6}","{""android"":19,""ios"":10}"
